node1,node2,present,view
ECM,ECM,NA,intra
ECM,protE,1,intra
ECM,protF,1,intra
ECM,prodA,0,intra
ECM,prodB,1,intra
ECM,prodC,0,intra
ECM,prodD,0,intra
protE,ECM,1,intra
protE,protE,NA,intra
protE,protF,0,intra
protE,prodA,0,intra
protE,prodB,0,intra
protE,prodC,0,intra
protE,prodD,0,intra
protF,ECM,1,intra
protF,protE,0,intra
protF,protF,NA,intra
protF,prodA,0,intra
protF,prodB,1,intra
protF,prodC,0,intra
protF,prodD,0,intra
prodA,ECM,0,intra
prodA,protE,0,intra
prodA,protF,0,intra
prodA,prodA,NA,intra
prodA,prodB,0,intra
prodA,prodC,0,intra
prodA,prodD,0,intra
prodB,ECM,1,intra
prodB,protE,0,intra
prodB,protF,1,intra
prodB,prodA,0,intra
prodB,prodB,NA,intra
prodB,prodC,0,intra
prodB,prodD,0,intra
prodC,ECM,0,intra
prodC,protE,0,intra
prodC,protF,0,intra
prodC,prodA,0,intra
prodC,prodB,0,intra
prodC,prodC,NA,intra
prodC,prodD,0,intra
prodD,ECM,0,intra
prodD,protE,0,intra
prodD,protF,0,intra
prodD,prodA,0,intra
prodD,prodB,0,intra
prodD,prodC,0,intra
prodD,prodD,NA,intra
ECM,ECM,NA,para
ECM,protE,0,para
ECM,protF,0,para
ECM,prodA,0,para
ECM,prodB,1,para
ECM,prodC,1,para
ECM,prodD,0,para
protE,ECM,0,para
protE,protE,NA,para
protE,protF,1,para
protE,prodA,0,para
protE,prodB,0,para
protE,prodC,1,para
protE,prodD,0,para
protF,ECM,0,para
protF,protE,1,para
protF,protF,NA,para
protF,prodA,1,para
protF,prodB,1,para
protF,prodC,0,para
protF,prodD,0,para
prodA,ECM,0,para
prodA,protE,0,para
prodA,protF,1,para
prodA,prodA,NA,para
prodA,prodB,0,para
prodA,prodC,0,para
prodA,prodD,0,para
prodB,ECM,1,para
prodB,protE,0,para
prodB,protF,1,para
prodB,prodA,0,para
prodB,prodB,NA,para
prodB,prodC,0,para
prodB,prodD,0,para
prodC,ECM,1,para
prodC,protE,1,para
prodC,protF,0,para
prodC,prodA,0,para
prodC,prodB,0,para
prodC,prodC,NA,para
prodC,prodD,0,para
prodD,ECM,0,para
prodD,protE,0,para
prodD,protF,0,para
prodD,prodA,0,para
prodD,prodB,0,para
prodD,prodC,0,para
prodD,prodD,NA,para
